datetime,close,volume,ret_1h,ret_3h,vol_change,rsi_14,macd,macd_signal,sma20_ratio,bb_pct,btc_mentions,n_articles,total_coin_mentions,sent_mean,btc_share,sent_net,btc_sent_mean,btc_mentions_3h
2025-07-17 00:00:00+00:00,118894.33,37962783.2895799,0.0022245557063227395,-0.0033807039267499395,-0.06933809057384088,52.414602923024965,268.53139525378356,321.30693524105595,8.211326469220737e-05,0.5052533501764174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 01:00:00+00:00,118149.7,101036811.1598899,-0.0062629563579693626,-0.00412713017452726,1.6614700610643238,44.882632821005245,183.83612620948406,293.8127734347416,-0.006298326803986121,0.07177720307276649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 02:00:00+00:00,118330.57,71905806.6287625,0.0015308545006886831,-0.002527681978392815,-0.28832070407514976,46.87941117658132,129.81281141740328,261.01278103127396,-0.004799826558630871,0.17085354449613416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 03:00:00+00:00,118128.8,53394432.9749121,-0.0017051384101336442,-0.006438742705392242,-0.25743920445008683,44.924187851456004,69.91189172085433,222.79260316919004,-0.006471524859158362,0.06142370085176106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 04:00:00+00:00,118485.4,46045924.3573967,0.003018738868082904,0.002841310642346162,-0.1376268687218416,48.97469375602757,50.63097866262251,188.36027826787657,-0.0033823860415429507,0.27453957265917167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 05:00:00+00:00,118587.03,43197792.1228329,0.0008577428105065454,0.0021673182170929284,-0.06185416569026447,50.10102277559233,43.055095455623814,159.29924170542603,-0.002273118374189642,0.3481052499744978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17 06:00:00+00:00,118452.51,70307280.7928401,-0.0011343567673463006,0.00274031396238672,0.6275665337923144,48.57267806152639,25.89797789507429,132.6189889433557,-0.003285927113287568,0.2843740120031075,10.0,10.0,14.0,0.12183135487139225,1.0,0.3,0.12183135487139225,10.0
2025-07-17 07:00:00+00:00,118311.75,86689847.4551217,-0.0011883243335240046,-0.0014655814134061362,0.23301379995839566,46.9584475890303,0.9319401721877512,106.28157918912213,-0.0042787690714489734,0.22797289393143286,16.0,16.0,35.0,0.37009661667980254,1.0,0.5,0.37009661667980254,26.0
2025-07-17 08:00:00+00:00,118330.93,49293722.4024629,0.00016211407573618608,-0.0021595953621572628,-0.43137836956073006,47.215860877809575,-17.108937703829724,81.60347581053176,-0.003998946888461474,0.25122131601897185,14.0,14.0,27.0,-0.02731465388621603,1.0,0.0,-0.02731465388621603,40.0
2025-07-17 09:00:00+00:00,118769.34,87193280.6199535,0.003704948486418669,0.0026747428146520758,0.7688516178197367,52.84867210725736,3.924322509599733,66.06764515034536,-0.00033798224486192296,0.47894974578491073,24.0,25.0,32.0,-0.02303940609097481,0.96,0.08000000000000002,-0.061993100525190435,54.0
2025-07-17 10:00:00+00:00,118340.01,47732830.9001793,-0.003614821805021373,0.00023886046821219864,-0.4525629663112365,47.50260231198216,-13.889896098218742,50.07613690063254,-0.0036510284738562326,0.27594060908572243,26.0,27.0,42.0,0.005229208963336768,0.9629629629629629,0.07407407407407407,0.003764292153601463,64.0
2025-07-17 11:00:00+00:00,117995.0,57700791.4274708,-0.0029154129697976927,-0.002838902728137027,0.20882818679111836,43.678792375387296,-55.21078080694133,29.01875335911777,-0.006095236047980124,0.14260328912047074,18.0,19.0,30.0,0.16103005095532066,0.9473684210526315,0.42105263157894735,0.14804508123132917,68.0
2025-07-17 12:00:00+00:00,117867.08,122728710.1171254,-0.0010841137336328188,-0.007596741718022493,1.1269848659076698,42.31859604890347,-97.159955085197,3.7830116702548153,-0.00657660137980387,0.1252440881323178,25.0,25.0,45.0,0.22507675722241402,1.0,0.4,0.22507675722241402,69.0
2025-07-17 13:00:00+00:00,118281.99,99751053.5039397,0.0035201516827261248,-0.0004902821961904058,-0.18722315741163675,47.97738255401866,-95.82064769539284,-16.137720202874718,-0.0027470240291977976,0.34236090196250696,29.0,30.0,46.0,0.1843793449923396,0.9666666666666667,0.23333333333333334,0.22155111392253432,72.0
2025-07-17 14:00:00+00:00,118770.94,82411417.7439446,0.0041337654194015805,0.006576041357684748,-0.17382909905117205,53.73726974862696,-54.67480119118409,-23.845136400536596,0.001688397075988668,0.605265026539561,30.0,32.0,61.0,0.1934474753215909,0.9375,0.4375,0.17169192930062613,84.0
2025-07-17 15:00:00+00:00,118881.99,70358890.0799189,0.0009349930210200696,0.008610631569052174,-0.14624827474116942,54.95706586836217,-12.95626274838287,-21.66736167010585,0.0027721952693751106,0.6797856009953683,21.0,23.0,33.0,0.28423636617219966,0.9130434782608695,0.5217391304347826,0.2559860602376007,80.0
2025-07-17 16:00:00+00:00,118558.61,65280313.5226794,-0.002720176538094643,0.002338648512761665,-0.07218102149523498,50.75990097809773,-5.919843595213024,-18.517858055127284,0.0006198286275820308,0.5552191349746034,19.0,21.0,32.0,0.24446307681500912,0.9047619047619048,0.33333333333333337,0.2636247456661965,70.0
